scheme,pattern,num_events,pairwise_rank_loss_events,collective_only_events,min_exact_lambda,min_pairwise_safe_lambda,max_pair_correlation_at_collective,worst_pairwise_safe_event_index,worst_block_offset,worst_block_amplitudes,max_pair_correlation_at_worst
local-proposed,2-2-1-2,1280,0,0,6.54074748722643e-08,6.54074748722643e-08,NaN,970,13,"-1,-1,0,-1",0.665954083377076
local-proposed,3-2-1-2,1280,0,0,3.4572007877598e-06,3.4572007877598e-06,NaN,165,3,"0,0,-1,-1",0.500000000000004
local-proposed,1-3-1-2,1280,0,0,3.45161121906301e-10,3.45161121906301e-10,NaN,1229,16,"0,-1,-1,0",0.500000000000004
local-proposed,2-3-1-2,1280,0,0,3.45161121906301e-10,3.45161121906301e-10,NaN,1229,16,"0,-1,-1,0",0.500000000000004
local-proposed,3-3-1-2,1280,0,0,3.45161343950906e-10,3.45161343950906e-10,NaN,1229,16,"0,-1,-1,0",0.500000000000004
local-proposed,1-1-2-2,1280,0,0,3.57402017369668e-05,3.57402017369668e-05,NaN,1239,16,"1,-1,0,0",0.500000000000003
local-proposed,2-1-2-2,1280,0,0,5.91076700566939e-05,5.91076700566939e-05,NaN,979,13,"-1,-1,1,-1",0.693032278256593
local-proposed,3-1-2-2,1280,0,0,6.40306929490331e-06,6.40306929490331e-06,NaN,664,9,"1,0,1,-1",0.664040292592133
local-proposed,1-2-2-2,1280,0,0,0.000163265719849406,0.000163265719849406,NaN,970,13,"-1,-1,0,-1",0.656921145602116
local-proposed,2-2-2-2,1280,0,0,6.54074752244132e-08,6.54074752244132e-08,NaN,970,13,"-1,-1,0,-1",0.665954083377076
local-proposed,3-2-2-2,1280,0,0,6.40306929484693e-06,6.40306929484693e-06,NaN,664,9,"1,0,1,-1",0.664040292592133
local-proposed,1-3-2-2,1280,0,0,4.55979860024843e-05,4.55979860024843e-05,NaN,330,5,"-1,-1,0,-1",0.663713305138248
local-proposed,2-3-2-2,1280,0,0,6.82234641902202e-06,6.82234641902202e-06,NaN,1079,14,"1,-1,0,0",0.500000000000002
local-proposed,3-3-2-2,1280,0,0,6.40306929502441e-06,6.40306929502441e-06,NaN,664,9,"1,0,1,-1",0.664040292592133
local-proposed,1-1-3-2,1280,0,0,5.70732662000729e-06,5.70732662000729e-06,NaN,969,13,"1,1,-1,-1",0.699246434340973
local-proposed,2-1-3-2,1280,0,0,2.58488768379752e-05,2.58488768379752e-05,NaN,82,2,"0,-1,-1,-1",0.666663242842622
local-proposed,3-1-3-2,1280,0,0,2.58488768379059e-05,2.58488768379059e-05,NaN,82,2,"0,-1,-1,-1",0.666663242842622
local-proposed,1-2-3-2,1280,0,0,1.61227400704118e-07,1.61227400704118e-07,NaN,968,13,"0,1,-1,-1",0.666409662233242
local-proposed,2-2-3-2,1280,0,0,6.54074747595073e-08,6.54074747595073e-08,NaN,970,13,"-1,-1,0,-1",0.665954083377076
local-proposed,3-2-3-2,1280,0,0,1.61227400807422e-07,1.61227400807422e-07,NaN,968,13,"0,1,-1,-1",0.666409662233242
local-proposed,1-3-3-2,1280,0,0,7.2694050976483e-06,7.2694050976483e-06,NaN,729,10,"1,1,-1,-1",0.703700891565635
local-proposed,2-3-3-2,1280,0,0,6.82234641913304e-06,6.82234641913304e-06,NaN,1079,14,"1,-1,0,0",0.500000000000002
local-proposed,3-3-3-2,1280,0,0,1.01663250119549e-05,1.01663250119549e-05,NaN,322,5,"0,-1,-1,-1",0.660074659271525
local-proposed,1-1-1-3,1280,0,0,3.57402017368558e-05,3.57402017368558e-05,NaN,1239,16,"1,-1,0,0",0.500000000000003
local-proposed,2-1-1-3,1280,0,0,1.70631836585678e-05,1.70631836585678e-05,NaN,902,12,"-1,0,1,-1",0.666395674059344
local-proposed,3-1-1-3,1280,0,0,0.00012022811083745,0.00012022811083745,NaN,677,9,"-1,-1,0,0",0.500000000000002
local-proposed,1-2-1-3,1280,0,0,6.91590941356295e-08,6.91590941356295e-08,NaN,722,10,"0,-1,-1,-1",0.66653869742287
local-proposed,2-2-1-3,1280,0,0,6.91590940144699e-08,6.91590940144699e-08,NaN,722,10,"0,-1,-1,-1",0.66653869742287
local-proposed,3-2-1-3,1280,0,0,6.91590939246336e-08,6.91590939246336e-08,NaN,740,10,"0,-1,1,-1",0.666538697422864
local-proposed,1-3-1-3,1280,0,0,3.45161121906301e-10,3.45161121906301e-10,NaN,1229,16,"0,-1,-1,0",0.500000000000004
local-proposed,2-3-1-3,1280,0,0,3.45161121906301e-10,3.45161121906301e-10,NaN,1229,16,"0,-1,-1,0",0.500000000000004
local-proposed,3-3-1-3,1280,0,0,3.45161121906301e-10,3.45161121906301e-10,NaN,1229,16,"0,-1,-1,0",0.500000000000004
local-proposed,1-1-2-3,1280,0,0,3.57402017368003e-05,3.57402017368003e-05,NaN,1239,16,"1,-1,0,0",0.500000000000003
local-proposed,2-1-2-3,1280,0,0,3.29423164080403e-05,3.29423164080403e-05,NaN,979,13,"-1,-1,1,-1",0.690870665240292
local-proposed,3-1-2-3,1280,0,0,0.000120228110837284,0.000120228110837284,NaN,677,9,"-1,-1,0,0",0.500000000000002
local-proposed,1-2-2-3,1280,0,0,6.62689688206016e-05,6.62689688206016e-05,NaN,746,10,"0,1,1,-1",0.660893258282483
local-proposed,2-2-2-3,1280,0,0,6.62689688206988e-05,6.62689688206988e-05,NaN,746,10,"0,1,1,-1",0.660893258282483
local-proposed,3-2-2-3,1280,0,0,6.62689688205732e-05,6.62689688205732e-05,NaN,746,10,"0,1,1,-1",0.660893258282483
local-proposed,1-3-2-3,1280,0,0,0.000279758747655356,0.000279758747655356,NaN,113,2,"1,0,-1,0",0.999720241252345
local-proposed,2-3-2-3,1280,0,0,6.82234641902202e-06,6.82234641902202e-06,NaN,1079,14,"1,-1,0,0",0.500000000000002
local-proposed,3-3-2-3,1280,0,0,7.51677195217071e-05,7.51677195217071e-05,NaN,597,8,"-1,-1,0,0",0.500000000000002
local-proposed,1-1-3-3,1280,0,0,3.57402017371888e-05,3.57402017371888e-05,NaN,1239,16,"1,-1,0,0",0.500000000000003
local-proposed,2-1-3-3,1280,0,0,0.000170600845270682,0.000170600845270682,NaN,993,13,"1,0,-1,0",0.999829399154729
local-proposed,3-1-3-3,1280,0,0,2.65103149728237e-05,2.65103149728237e-05,NaN,747,10,"1,1,1,-1",0.706748114554085
local-proposed,1-2-3-3,1280,0,0,1.67025399944311e-05,1.67025399944311e-05,NaN,728,10,"0,1,-1,-1",0.663815770490047
local-proposed,2-2-3-3,1280,0,0,1.67025399942116e-05,1.67025399942116e-05,NaN,728,10,"0,1,-1,-1",0.663815770490047
local-proposed,3-2-3-3,1280,0,0,1.6702539994196e-05,1.6702539994196e-05,NaN,728,10,"0,1,-1,-1",0.663815770490047
local-proposed,1-3-3-3,1280,0,0,0.0001581948025286,0.0001581948025286,NaN,105,2,"-1,1,1,-1",0.976804814782183
local-proposed,2-3-3-3,1280,0,0,6.822346418911e-06,6.822346418911e-06,NaN,1079,14,"1,-1,0,0",0.500000000000002
local-proposed,3-3-3-3,1280,0,0,7.51677195214295e-05,7.51677195214295e-05,NaN,597,8,"-1,-1,0,0",0.500000000000002
