scheme,fractional_doppler,min_sigma,tracked_integer_event_sigma,min_gram_determinant,worst_pep_surrogate,near_rank_loss_events,worst_event_index,integer_worst_event_index
integer-safe-GPS,-0.3,0.42416452488872,0.42416452488872,0.327461485312694,4.76932154927971e-05,0,1630,1630
baseline,-0.25,0.315895230499363,0.315895230499363,0.189621589788595,8.09562594702484e-05,0,226,226
GPS-rational,-0.25,0.315691440768762,0.315691440768762,0.18938983953153,8.10513003970404e-05,0,1630,1630
local-proposed,-0.25,0.318198886740401,0.318198886740401,0.192249392912006,7.98939835153156e-05,0,226,226
integer-safe-GPS,-0.25,0.373996500867054,0.373996500867054,0.260182202144627,5.9657372316657e-05,0,1630,1630
baseline,-0.2,0.254223182621671,0.254223182621671,0.125081890384227,0.000120212273491422,0,226,226
GPS-rational,-0.2,0.253960013626107,0.253960013626107,0.124831683204151,0.000120438682964552,0,1630,1630
local-proposed,-0.2,0.257191008339056,0.257191008339056,0.127918975519031,0.000117703335281507,0,1629,226
integer-safe-GPS,-0.2,0.326003980818883,0.326003980818883,0.20126205115599,7.64533113320806e-05,0,1630,1630
baseline,-0.15,0.191654010359171,0.191654010359171,0.0721133339353305,0.000199677187045047,0,1629,226
GPS-rational,-0.15,0.191294361605396,0.191294361605396,0.0718479789225638,0.000200340631857494,0,1630,1630
local-proposed,-0.15,0.195689338257507,0.195689338257508,0.0751221794925803,0.000192450689895464,0,1629,226
integer-safe-GPS,-0.15,0.282174853605115,0.282174853605115,0.152905529938479,9.94273420474992e-05,0,1630,1630
baseline,-0.1,0.128471886079818,0.128471886079818,0.0327376351586297,0.000392603014129206,0,226,226
GPS-rational,-0.1,0.127923440727875,0.127923440727875,0.0324610195690774,0.000395286020817186,0,1630,1630
local-proposed,-0.1,0.134539597256945,0.134539597256945,0.0358741637623776,0.000364546372773279,0,1629,226
integer-safe-GPS,-0.1,0.245554526950747,0.245554526950747,0.11695832010302,0.000128026301617891,0,1630,1630
baseline,-0.05,0.0651815627234948,0.0651815627234957,0.00847922132928147,0.00096997789120887,0,1629,226
GPS-rational,-0.05,0.0640801442827864,0.0640801442827864,0.00819566837124774,0.000986943455392703,0,1630,1630
local-proposed,-0.05,0.0765793822518695,0.0765793822518695,0.0116944123638476,0.000811753691634938,0,226,226
integer-safe-GPS,-0.05,0.220423173824966,0.220423173824966,0.0948121152281748,0.000155599467757394,0,1630,1630
baseline,0,0.0119565150535639,0.0119565150535639,0.000285896067390157,0.00192727057410989,0,226,226
GPS-rational,0,0,0,0,0.00199600798403194,2,1630,1630
local-proposed,0,0.0420164972062231,0.0420164972062231,0.00352765548709988,0.00138604275031252,0,226,226
integer-safe-GPS,0,0.211337433679871,0.211337433679871,0.0873321925451609,0.00016780601260398,0,1630,1630
baseline,0.05,0.0651815627234957,0.0651815627234965,0.00847922132928169,0.000969977891208857,0,1629,226
GPS-rational,0.05,0.0640801442827881,0.0640801442827881,0.0081956683712483,0.000986943455392676,0,1630,1630
local-proposed,0.05,0.0765793822518709,0.0765793822518709,0.0116944123638481,0.00081175369163492,0,226,226
integer-safe-GPS,0.05,0.220423173824966,0.220423173824966,0.0948121152281749,0.000155599467757394,0,1630,1630
baseline,0.1,0.128471886079819,0.128471886079819,0.0327376351586303,0.0003926030141292,0,226,226
GPS-rational,0.1,0.127923440727877,0.127923440727877,0.0324610195690782,0.000395286020817178,0,1630,1630
local-proposed,0.1,0.134539597256945,0.134539597256945,0.0358741637623782,0.000364546372773275,0,226,226
integer-safe-GPS,0.1,0.245554526950747,0.245554526950747,0.11695832010302,0.00012802630161789,0,1630,1630
baseline,0.15,0.191654010359171,0.191654010359172,0.072113333935331,0.000199677187045045,0,1629,226
GPS-rational,0.15,0.191294361605397,0.191294361605397,0.0718479789225644,0.000200340631857492,0,1630,1630
local-proposed,0.15,0.195689338257509,0.195689338257509,0.0751221794925812,0.000192450689895462,0,226,226
integer-safe-GPS,0.15,0.282174853605116,0.282174853605116,0.152905529938479,9.94273420474988e-05,0,1630,1630
baseline,0.2,0.254223182621672,0.254223182621672,0.125081890384228,0.000120212273491421,0,1629,226
GPS-rational,0.2,0.253960013626108,0.253960013626108,0.124831683204152,0.000120438682964552,0,1630,1630
local-proposed,0.2,0.257191008339057,0.257191008339057,0.127918975519032,0.000117703335281506,0,226,226
integer-safe-GPS,0.2,0.326003980818883,0.326003980818883,0.201262051155991,7.64533113320804e-05,0,1630,1630
baseline,0.25,0.315895230499364,0.315895230499364,0.189621589788596,8.0956259470248e-05,0,1629,226
GPS-rational,0.25,0.315691440768763,0.315691440768763,0.189389839531531,8.105130039704e-05,0,1630,1630
local-proposed,0.25,0.318198886740402,0.318198886740402,0.192249392912007,7.98939835153153e-05,0,1629,226
integer-safe-GPS,0.25,0.373996500867055,0.373996500867055,0.260182202144627,5.96573723166567e-05,0,1630,1630
baseline,0.3,0.376427949765967,0.376427949765967,0.26331767913918,5.8967983815208e-05,0,226,226
GPS-rational,0.3,0.376264909960686,0.376264909960686,0.26310700432963,5.90138045997279e-05,0,1630,1630
local-proposed,0.3,0.378273358139696,0.378273358139696,0.265706508949213,5.84533587004666e-05,0,226,226
integer-safe-GPS,0.3,0.424164524888721,0.424164524888721,0.327461485312695,4.7693215492797e-05,0,1630,1630
baseline,0.35,0.435596172319479,0.435596172319479,0.34348525552677,4.55190408239707e-05,0,1629,226
GPS-rational,0.35,0.435463174102895,0.435463174102895,0.343297506866538,4.55433670703652e-05,0,1630,1630
local-proposed,0.35,0.437102728317985,0.437102728317985,0.345614127019832,4.52450138647342e-05,0,1629,226
integer-safe-GPS,0.35,0.475207561780434,0.475207561780434,0.400648775441757,3.91518940743165e-05,0,1630,1630
baseline,0.4,0.493186415739404,0.493186415739404,0.427303466559421,3.67546163888722e-05,0,226,226
GPS-rational,0.4,0.493076707106645,0.493076707106645,0.42713968804907,3.6768449636342e-05,0,1630,1630
local-proposed,0.4,0.494429789035201,0.494429789035201,0.429160541871866,3.65984870356779e-05,0,226,226
integer-safe-GPS,0.4,0.52624077189405,0.52624077189405,0.47716883511385,3.29771230303304e-05,0,1630,1630
baseline,0.45,0.548995884371081,0.548995884371081,0.511953123319599,3.07710579002315e-05,0,1629,226
GPS-rational,0.45,0.548904905825111,0.548904905825111,0.511813552734172,3.07793197132484e-05,0,1630,1630
local-proposed,0.45,0.550027341932447,0.550027341932447,0.513535706333597,3.06776869976646e-05,0,1629,226
integer-safe-GPS,0.45,0.576630854826147,0.576630854826147,0.554447945544729,2.84462677594463e-05,0,1630,1630
baseline,0.5,0.602832751650033,0.602832751650033,0.594749767997679,2.65443076721995e-05,0,226,226
GPS-rational,0.5,0.602757254020238,0.602757254020238,0.594633875416807,2.65494122751357e-05,0,1630,1630
local-proposed,0.5,0.603688909766817,0.603688909766817,0.596063867450477,2.64865638835608e-05,0,226,226
integer-safe-GPS,0.5,0.625901618713064,0.625901618713064,0.630035387860192,2.5076350125432e-05,0,1630,1630
