scheme,fractional_doppler,min_sigma,tracked_integer_event_sigma,min_gram_determinant,worst_pep_surrogate,near_rank_loss_events,worst_event_index,integer_worst_event_index
local-proposed,0.35,0.528441077411313,0.528441077411313,0.480519397564149,3.27509533183807e-05,0,1631,1631
integer-safe-GPS,0.35,0.510186785315734,0.510186785315734,0.452829938325251,3.4718761020538e-05,0,1632,1630
baseline,0.4,0.622993975524433,0.622993975524433,0.625604693331959,2.5251700533741e-05,0,1629,1629
GPS-rational,0.4,0.492928712932582,0.492928712932582,0.426918775621517,3.67871250974038e-05,0,1632,1632
local-proposed,0.4,0.571430492135688,0.571430492135688,0.546441940413937,2.88570130099589e-05,0,1631,1631
integer-safe-GPS,0.4,0.555959570981137,0.555959570981137,0.52264481530045,3.01510862281043e-05,0,1630,1630
baseline,0.45,0.659376321626241,0.659376321626241,0.680523111209661,2.3237605154906e-05,0,1629,1629
GPS-rational,0.45,0.548749577615323,0.548749577615323,0.511575270407386,3.07934349771796e-05,0,1630,1632
local-proposed,0.45,0.614828527453384,0.614828527453384,0.613133562804776,2.57586915585236e-05,0,1631,1631
integer-safe-GPS,0.45,0.601797548205181,0.601797548205181,0.593160503104306,2.6614479969494e-05,0,1632,1630
baseline,0.5,0.696133892883759,0.696133892883759,0.734365310637855,2.15522667000504e-05,0,1629,1629
GPS-rational,0.5,0.6025981183826,0.6025981183826,0.594389587664164,2.65601786033231e-05,0,1632,1632
local-proposed,0.5,0.657999795272277,0.657999795272277,0.678469869160388,2.33071075731958e-05,0,1631,1631
integer-safe-GPS,0.5,0.647104494456578,0.647104494456578,0.662141726058782,2.38749765582745e-05,0,1632,1630
